id_ubicacion,provincia,codigo_postal,codigo_almacen
alicante_03001,Alicante,03001,alc1
barcelona_08001,Barcelona,08001,bcn1
madrid_28001,Madrid,28001,mad3
sevilla_41001,Sevilla,41001,svq1
valencia_46001,Valencia,46001,vlc1
